avg,std,min,max
110.85,102.77104407370784,7,430
101.89,107.19252725820024,7,494
97.33,140.98645715103277,7,1017
37.41,126.92053379969688,7,843
23.24,58.565197856747645,7,482
61.49,208.17081904051778,7,1390
46.29,130.05800974949602,11,720
45.81,150.0986805405031,9,1157
40.66,131.18439083976415,9,900
35.53,127.24735399999486,9,1185
34.62,113.94610831441327,9,854
